N03_001,N03_002,N03_003,N03_004,N03_005,N03_006,N03_007
東京都,,千代田区,,,,13101
東京都,,中央区,,,,13102
東京都,,港区,,,,13103
東京都,,新宿区,,,,13104
東京都,,文京区,,,,13105
東京都,,台東区,,,,13106
東京都,,墨田区,,,,13107
東京都,,江東区,,,,13108
東京都,,品川区,,,,13109
東京都,,目黒区,,,,13110
東京都,,大田区,,,,13111
東京都,,世田谷区,,,,13112
東京都,,渋谷区,,,,13113
東京都,,中野区,,,,13114
東京都,,杉並区,,,,13115
東京都,,豊島区,,,,13116
東京都,,北区,,,,13117
東京都,,荒川区,,,,13118
東京都,,板橋区,,,,13119
東京都,,練馬区,,,,13120
東京都,,足立区,,,,13121
東京都,,葛飾区,,,,13122
東京都,,江戸川区,,,,13123
東京都,,,八王子市,,,13201
東京都,,,立川市,,,13202
東京都,,,武蔵野市,,,13203
東京都,,,三鷹市,,,13204
東京都,,,青梅市,,,13205
東京都,,,府中市,,,13206
東京都,,,昭島市,,,13207
東京都,,,調布市,,,13208
東京都,,,町田市,,,13209
東京都,,,小金井市,,,13210
東京都,,,小平市,,,13211
東京都,,,日野市,,,13212
東京都,,,東村山市,,,13213
東京都,,,国分寺市,,,13214
東京都,,,国立市,,,13215
東京都,,,福生市,,,13218
東京都,,,狛江市,,,13219
東京都,,,東大和市,,,13220
東京都,,,清瀬市,,,13221
東京都,,,東久留米市,,,13222
東京都,,,武蔵村山市,,,13223
東京都,,,多摩市,,,13224
東京都,,,稲城市,,,13225
東京都,,,羽村市,,,13227
東京都,,,あきる野市,,,13228
東京都,,,西東京市,,,13229
東京都,,西多摩郡,瑞穂町,,,13303
東京都,,西多摩郡,日の出町,,,13305
東京都,,西多摩郡,檜原村,,,13307
東京都,,西多摩郡,奥多摩町,,,13308
東京都,,,大島町,,,13361
東京都,,,利島村,,,13362
東京都,,,新島村,,,13363
東京都,,,神津島村,,,13364
東京都,,,三宅村,,,13381
東京都,,,御蔵島村,,,13382
東京都,,,八丈町,,,13401
東京都,,,青ケ島村,,,13402
東京都,,,小笠原村,,,13421
東京都,,,所属未定地,,,
神奈川県,,横浜市,鶴見区,,,14101
神奈川県,,横浜市,神奈川区,,,14102
神奈川県,,横浜市,西区,,,14103
神奈川県,,横浜市,中区,,,14104
神奈川県,,横浜市,南区,,,14105
神奈川県,,横浜市,保土ケ谷区,,,14106
神奈川県,,横浜市,磯子区,,,14107
神奈川県,,横浜市,金沢区,,,14108
神奈川県,,横浜市,港北区,,,14109
神奈川県,,横浜市,戸塚区,,,14110
神奈川県,,横浜市,港南区,,,14111
神奈川県,,横浜市,旭区,,,14112
神奈川県,,横浜市,緑区,,,14113
神奈川県,,横浜市,瀬谷区,,,14114
神奈川県,,横浜市,栄区,,,14115
神奈川県,,横浜市,泉区,,,14116
神奈川県,,横浜市,青葉区,,,14117
神奈川県,,横浜市,都筑区,,,14118
神奈川県,,川崎市,川崎区,,,14131
神奈川県,,川崎市,幸区,,,14132
神奈川県,,川崎市,中原区,,,14133
神奈川県,,川崎市,高津区,,,14134
神奈川県,,川崎市,多摩区,,,14135
神奈川県,,川崎市,宮前区,,,14136
神奈川県,,川崎市,麻生区,,,14137
神奈川県,,相模原市,緑区,,,14151
神奈川県,,相模原市,中央区,,,14152
神奈川県,,相模原市,南区,,,14153
神奈川県,,,横須賀市,,,14201
神奈川県,,,平塚市,,,14203
神奈川県,,,鎌倉市,,,14204
神奈川県,,,藤沢市,,,14205
神奈川県,,,小田原市,,,14206
神奈川県,,,茅ケ崎市,,,14207
神奈川県,,,逗子市,,,14208
神奈川県,,,三浦市,,,14210
神奈川県,,,秦野市,,,14211
神奈川県,,,厚木市,,,14212
神奈川県,,,大和市,,,14213
神奈川県,,,伊勢原市,,,14214
神奈川県,,,海老名市,,,14215
神奈川県,,,座間市,,,14216
神奈川県,,,南足柄市,,,14217
神奈川県,,,綾瀬市,,,14218
神奈川県,,三浦郡,葉山町,,,14301
神奈川県,,高座郡,寒川町,,,14321
神奈川県,,中郡,大磯町,,,14341
神奈川県,,中郡,二宮町,,,14342
神奈川県,,足柄上郡,中井町,,,14361
神奈川県,,足柄上郡,大井町,,,14362
神奈川県,,足柄上郡,松田町,,,14363
神奈川県,,足柄上郡,山北町,,,14364
神奈川県,,足柄上郡,開成町,,,14366
神奈川県,,足柄下郡,箱根町,,,14382
神奈川県,,足柄下郡,真鶴町,,,14383
神奈川県,,足柄下郡,湯河原町,,,14384
神奈川県,,愛甲郡,愛川町,,,14401
神奈川県,,愛甲郡,清川村,,,14402
神奈川県,,川崎市,川崎区,,,14131
